DATE,RF
7/31/1926,0.0022
8/31/1926,0.0025
9/30/1926,0.0023
10/31/1926,0.0032
11/30/1926,0.0031
12/31/1926,0.0028
1/31/1927,0.0025
2/28/1927,0.0026
3/31/1927,0.003
4/30/1927,0.0025
5/31/1927,0.003
6/30/1927,0.0026
7/31/1927,0.003
8/31/1927,0.0028
9/30/1927,0.0021
10/31/1927,0.0025
11/30/1927,0.0021
12/31/1927,0.0022
1/31/1928,0.0025
2/29/1928,0.0033
3/31/1928,0.0029
4/30/1928,0.0022
5/31/1928,0.0032
6/30/1928,0.0031
7/31/1928,0.0032
8/31/1928,0.0032
9/30/1928,0.0027
10/31/1928,0.0041
11/30/1928,0.0038
12/31/1928,0.0006
1/31/1929,0.0034
2/28/1929,0.0036
3/31/1929,0.0034
4/30/1929,0.0036
5/31/1929,0.0044
6/30/1929,0.0052
7/31/1929,0.0033
8/31/1929,0.004
9/30/1929,0.0035
10/31/1929,0.0046
11/30/1929,0.0037
12/31/1929,0.0037
1/31/1930,0.0014
2/28/1930,0.003
3/31/1930,0.0035
4/30/1930,0.0021
5/31/1930,0.0026
6/30/1930,0.0027
7/31/1930,0.002
8/31/1930,0.0009
9/30/1930,0.0022
10/31/1930,0.0009
11/30/1930,0.0013
12/31/1930,0.0014
1/31/1931,0.0015
2/28/1931,0.0004
3/31/1931,0.0013
4/30/1931,0.0008
5/31/1931,0.0009
6/30/1931,0.0008
7/31/1931,0.0006
8/31/1931,0.0003
9/30/1931,0.0003
10/31/1931,0.001
11/30/1931,0.0017
12/31/1931,0.0012
1/31/1932,0.0023
2/29/1932,0.0023
3/31/1932,0.0016
4/30/1932,0.0011
5/31/1932,0.0006
6/30/1932,0.0002
7/31/1932,0.0003
8/31/1932,0.0003
9/30/1932,0.0003
10/31/1932,0.0002
11/30/1932,0.0002
12/31/1932,0.0001
1/31/1933,0.0001
2/28/1933,-0.0003
3/31/1933,0.0004
4/30/1933,0.001
5/31/1933,0.0004
6/30/1933,0.0002
7/31/1933,0.0002
8/31/1933,0.0003
9/30/1933,0.0002
10/31/1933,0.0001
11/30/1933,0.0002
12/31/1933,0.0002
1/31/1934,0.0005
2/28/1934,0.0002
3/31/1934,0.0002
4/30/1934,0.0001
5/31/1934,0.0001
6/30/1934,0.0001
7/31/1934,0.0001
8/31/1934,0.0001
9/30/1934,0.0001
10/31/1934,0.0001
11/30/1934,0.0001
12/31/1934,0.0001
1/31/1935,0.0001
2/28/1935,0.0002
3/31/1935,0.0001
4/30/1935,0.0001
5/31/1935,0.0001
6/30/1935,0.0001
7/31/1935,0.0001
8/31/1935,0.0001
9/30/1935,0.0001
10/31/1935,0.0001
11/30/1935,0.0002
12/31/1935,0.0001
1/31/1936,0.0001
2/29/1936,0.0001
3/31/1936,0.0002
4/30/1936,0.0002
5/31/1936,0.0002
6/30/1936,0.0003
7/31/1936,0.0001
8/31/1936,0.0002
9/30/1936,0.0001
10/31/1936,0.0002
11/30/1936,0.0001
12/31/1936,0
1/31/1937,0.0001
2/28/1937,0.0002
3/31/1937,0.0001
4/30/1937,0.0003
5/31/1937,0.0006
6/30/1937,0.0003
7/31/1937,0.0003
8/31/1937,0.0002
9/30/1937,0.0004
10/31/1937,0.0002
11/30/1937,0.0002
12/31/1937,0
1/31/1938,0
2/28/1938,0
3/31/1938,-0.0001
4/30/1938,0.0001
5/31/1938,0
6/30/1938,0
7/31/1938,-0.0001
8/31/1938,0
9/30/1938,0.0002
10/31/1938,0.0001
11/30/1938,-0.0006
12/31/1938,0
1/31/1939,-0.0001
2/28/1939,0.0001
3/31/1939,-0.0001
4/30/1939,0
5/31/1939,0.0001
6/30/1939,0.0001
7/31/1939,0
8/31/1939,-0.0001
9/30/1939,0.0001
10/31/1939,0
11/30/1939,0
12/31/1939,0
1/31/1940,0
2/29/1940,0
3/31/1940,0
4/30/1940,0
5/31/1940,-0.0002
6/30/1940,0
7/31/1940,0.0001
8/31/1940,-0.0001
9/30/1940,0
10/31/1940,0
11/30/1940,0
12/31/1940,0
1/31/1941,-0.0001
2/28/1941,-0.0001
3/31/1941,0.0001
4/30/1941,-0.0001
5/31/1941,0
6/30/1941,0
7/31/1941,0.0003
8/31/1941,0.0001
9/30/1941,0.0001
10/31/1941,0
11/30/1941,0
12/31/1941,0.0001
1/31/1942,0.0002
2/28/1942,0.0001
3/31/1942,0.0001
4/30/1942,0.0001
5/31/1942,0.0003
6/30/1942,0.0002
7/31/1942,0.0003
8/31/1942,0.0003
9/30/1942,0.0003
10/31/1942,0.0003
11/30/1942,0.0003
12/31/1942,0.0003
1/31/1943,0.0003
2/28/1943,0.0003
3/31/1943,0.0003
4/30/1943,0.0003
5/31/1943,0.0003
6/30/1943,0.0003
7/31/1943,0.0003
8/31/1943,0.0003
9/30/1943,0.0003
10/31/1943,0.0003
11/30/1943,0.0003
12/31/1943,0.0003
1/31/1944,0.0003
2/29/1944,0.0003
3/31/1944,0.0002
4/30/1944,0.0003
5/31/1944,0.0003
6/30/1944,0.0003
7/31/1944,0.0003
8/31/1944,0.0003
9/30/1944,0.0002
10/31/1944,0.0003
11/30/1944,0.0003
12/31/1944,0.0002
1/31/1945,0.0003
2/28/1945,0.0002
3/31/1945,0.0002
4/30/1945,0.0003
5/31/1945,0.0003
6/30/1945,0.0002
7/31/1945,0.0003
8/31/1945,0.0003
9/30/1945,0.0003
10/31/1945,0.0003
11/30/1945,0.0002
12/31/1945,0.0003
1/31/1946,0.0003
2/28/1946,0.0003
3/31/1946,0.0003
4/30/1946,0.0003
5/31/1946,0.0003
6/30/1946,0.0003
7/31/1946,0.0003
8/31/1946,0.0003
